count,date,dose_one,dose_two,time_slot
319294.0,2021-04-20,209625.0,209625.0,15:00-16:00
6219.0,2021-04-20,3082.0,3082.0,08:00-09:00
23345.0,2021-04-20,16803.0,16803.0,21:00-22:00
220328.0,2021-04-20,124039.0,124039.0,10:00-11:00
367666.0,2021-04-20,222702.0,222702.0,11:00-12:00
409250.0,2021-04-20,260452.0,260452.0,12:00-13:00
325367.0,2021-04-20,211853.0,211853.0,14:00-15:00
350694.0,2021-04-20,230214.0,230214.0,13:00-14:00
650.0,2021-04-20,375.0,375.0,07:00-08:00
238844.0,2021-04-20,159966.0,159966.0,16:00-17:00
120863.0,2021-04-20,79114.0,79114.0,17:00-18:00
58429.0,2021-04-20,39516.0,39516.0,18:00-19:00
35413.0,2021-04-20,24840.0,24840.0,19:00-20:00
28940.0,2021-04-20,20905.0,20905.0,20:00-21:00
20356.0,2021-04-20,14282.0,14282.0,22:00-23:00
355564.0,2021-04-19,249579.0,249579.0,15:00-16:00
70758.0,2021-04-19,38843.0,38843.0,09:00-10:00
237238.0,2021-04-19,142537.0,142537.0,10:00-11:00
399178.0,2021-04-19,258007.0,258007.0,11:00-12:00
455785.0,2021-04-19,307930.0,307930.0,12:00-13:00
395702.0,2021-04-19,275316.0,275316.0,13:00-14:00
335435.0,2021-04-19,232017.0,232017.0,14:00-15:00
23715.0,2021-04-19,17587.0,17587.0,22:00-23:00
306990.0,2021-04-19,215121.0,215121.0,16:00-17:00
158868.0,2021-04-19,112755.0,112755.0,17:00-18:00
76213.0,2021-04-19,54952.0,54952.0,18:00-19:00
43691.0,2021-04-19,30999.0,30999.0,19:00-20:00
32367.0,2021-04-19,24057.0,24057.0,20:00-21:00
30264.0,2021-04-19,22725.0,22725.0,21:00-22:00
6268.0,2021-04-19,3549.0,3549.0,08:00-09:00
377.0,2021-04-19,319.0,319.0,07:00-08:00
9391.0,2021-04-18,7431.0,7431.0,22:00-23:00
141926.0,2021-04-18,108499.0,108499.0,13:00-14:00
